Thu nhap trung binh,Tuoi nha,So luong phong,So phong ngu,Dan so,So luong nguoi song,Vi do,Kinh do,Gia nha
1.5045,43,4.5897,1.1204,1061,2.6069,37.82,-122.27,0.938
1.1108,41,4.4736,1.1847,1959,2.7208,37.82,-122.27,0.975
1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27,1.042
1.6098,52,5.0215,1.0086,701,3.0086,37.82,-122.28,0.875
1.4113,52,4.2955,1.1045,576,2.6182,37.82,-122.28,0.831
1.5057,52,4.7799,1.112,622,2.4015,37.82,-122.28,0.875
0.8172,52,6.1025,1.373,728,2.9836,37.82,-122.28,0.853
1.2171,52,4.5625,1.1217,1074,3.5329,37.82,-122.28,0.803
2.5625,2,2.7719,0.7544,94,1.6491,37.82,-122.29,0.6
3.3929,52,5.9947,1.1283,554,2.9626,37.83,-122.29,0.757
6.1183,49,5.8696,1.2609,86,3.7391,37.82,-122.29,0.75
0.9011,50,6.2295,1.5574,377,3.0902,37.81,-122.29,0.861
1.191,52,7.6981,1.4906,521,3.2767,37.81,-122.3,0.761
2.5938,48,6.2256,1.3684,392,2.9474,37.81,-122.3,0.735
1.1667,52,5.4011,1.1176,604,3.2299,37.81,-122.3,0.784
0.8056,48,4.3825,1.0663,788,2.3735,37.81,-122.3,0.844
2.6094,52,6.9864,1.6599,492,3.3469,37.8,-122.29,0.813
1.8516,52,6.9756,1.3293,274,3.3415,37.81,-122.3,0.85
0.9802,46,4.5843,1.054,1823,2.9836,37.81,-122.29,1.292
1.7719,26,6.0472,1.1969,392,3.0866,37.81,-122.29,0.825
0.7286,46,3.3755,1.0722,582,2.1011,37.81,-122.29,0.952
1.75,49,5.5526,1.3421,560,3.6842,37.81,-122.29,0.75
0.4999,46,1.7143,0.5714,18,2.5714,37.81,-122.29,0.675
2.483,20,6.2782,1.2105,290,2.1805,37.81,-122.29,1.375
0.9241,17,2.8178,1.0524,762,1.7358,37.81,-122.28,1.775
2.4464,36,5.725,1.1041,1236,2.4283,37.81,-122.28,1.021
1.1111,19,5.8309,1.1739,721,3.4831,37.81,-122.28,1.083
0.8026,23,5.3692,1.1508,1054,3.2431,37.81,-122.29,1.125
2.0114,38,4.4129,1.1355,344,2.2194,37.8,-122.28,1.313
1.5,17,3.1972,1,609,2.1073,37.81,-122.28,1.625
1.1667,52,3.75,1,183,3.2679,37.81,-122.27,1.125
1.5208,52,3.908,1.1149,200,2.2989,37.81,-122.28,1.125
0.8075,52,2.4903,1.0581,346,2.2323,37.81,-122.28,1.375
1.8088,35,5.6095,1.0888,467,2.7633,37.81,-122.28,1.188
2.4083,52,6.7217,1.2435,377,3.2783,37.81,-122.28,0.982
0.977,40,2.3158,1.1868,582,1.5316,37.81,-122.27,1.188
0.76,10,2.6515,1.0545,546,1.6545,37.81,-122.27,1.625
0.9722,10,2.6923,1.0769,125,3.2051,37.8,-122.27,1.375
1.2434,52,2.9294,0.9176,396,4.6588,37.8,-122.27,5
2.0938,16,2.7459,1.0829,800,2.2099,37.8,-122.27,1.625
0.8668,52,2.4432,0.9886,904,10.2727,37.8,-122.28,1.375
0.75,52,2.8235,0.9118,191,5.6176,37.8,-122.28,1.625
2.6354,27,3.4934,1.149,718,2.3775,37.79,-122.27,1.875
1.8477,39,3.6724,1.334,1327,2.8415,37.8,-122.27,1.792
2.0096,36,2.294,1.0663,3469,1.4933,37.8,-122.26,1.3
2.8345,31,3.8949,1.128,2048,1.7356,37.82,-122.26,1.838
2.0062,29,3.6813,1.1758,202,2.2198,37.81,-122.26,1.25
1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26,1.7
2.6104,37,3.7071,1.1071,1838,1.8755,37.82,-122.26,1.931
2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25,2.578
3.2177,28,3.8784,1.0708,2563,1.7121,37.81,-122.25,2.734
3.125,39,3.7456,1.0614,389,1.7061,37.81,-122.25,2.375
2.5795,52,3.5155,1.1436,895,1.46,37.81,-122.25,3.5
2.8406,34,3.2817,1.0699,2689,1.5031,37.81,-122.26,3.357
4.9306,52,6.1844,0.9221,674,2.7623,37.82,-122.24,3.134
3.2727,52,4.443,1.057,709,1.5548,37.81,-122.24,2.685
3.1691,52,4.1659,1.09,686,1.6256,37.81,-122.25,2.594
3.9,52,4.8482,1.046,1444,2.0111,37.82,-122.24,2.757
3.9063,28,4.1608,1.0661,1520,1.8953,37.82,-122.25,2.25
5.0917,52,5.6285,1.1423,550,2.1739,37.82,-122.25,2.625
2.6429,32,3.727,1.0744,1806,1.7671,37.82,-122.25,2.185
3.0233,26,3.2531,0.9827,1749,1.4371,37.82,-122.25,2.55
3.1484,52,4.578,1.0771,939,1.8092,37.83,-122.25,2.241
3.4722,35,3.8223,1.0142,675,1.5995,37.83,-122.25,2.431
3.1429,52,4.3952,0.9863,534,1.8351,37.83,-122.25,2.316
2.4234,28,3.0235,1.0536,2558,1.54,37.83,-122.25,2.185
3.0897,52,4.0405,1.0656,1786,1.7223,37.83,-122.25,2.341
5.8596,50,6.7426,1.0697,970,2.6005,37.84,-122.23,3.276
5.2868,47,6.5464,0.9361,1098,2.2639,37.84,-122.23,3.476
5.956,41,6.8511,1.0798,794,2.1117,37.83,-122.24,3.661
4.9643,37,7.1064,1.1489,98,2.0851,37.85,-122.24,3.35
6.3434,52,6.9479,1.0199,1061,2.6328,37.85,-122.23,3.736
5.1773,52,6.3586,1.0342,1177,2.1207,37.84,-122.24,3.895
7.2354,52,7.1172,0.9946,901,2.455,37.85,-122.24,3.911
5.457,28,5.5303,1.0962,2031,2.1245,37.85,-122.22,3.373
7.5,50,6.1273,0.9875,1031,2.1524,37.84,-122.22,2.952
6.0194,44,5.7353,1,1358,2.2747,37.84,-122.21,2.923
7.5544,40,7.6315,1.0306,1616,2.4709,37.83,-122.21,4.115
6.0666,30,6.4461,1.0087,844,2.4606,37.84,-122.2,3.115
7.0548,34,6.125,0.9879,1140,2.2984,37.84,-122.21,3.259
11.6017,18,8.3351,1.0825,533,2.7474,37.84,-122.19,3.926
7.4882,35,6.4673,1.0384,1072,2.4199,37.84,-122.2,3.193
6.8976,34,6.6123,1.0287,1627,2.124,37.83,-122.21,3.333
8.2049,28,6.9789,0.9684,463,2.4368,37.83,-122.19,3.352
8.401,26,7.5308,1.0569,542,2.5687,37.83,-122.2,3.512
6.8538,29,6.658,1.0074,661,2.4572,37.83,-122.19,3.689
8.317,32,6.9772,1.0038,635,2.4144,37.82,-122.19,3.659
7.0175,37,6.983,1.0284,420,2.3864,37.82,-122.2,3.667
6.3302,39,7.54,1.068,1265,2.53,37.82,-122.2,3.628
6.3624,30,5.6154,0.7308,126,2.4231,37.81,-122.18,4.833
7.0549,52,6.7857,0.9514,813,2.3229,37.82,-122.21,3.314
6.7851,45,6.9577,1.0235,1067,2.5047,37.81,-122.2,3.235
2.8929,50,5.1322,1.096,1260,2.2826,37.8,-122.21,2.167
3.0812,38,4.6283,1.0986,951,1.9528,37.8,-122.21,2.331
5.2402,52,6.2009,0.9464,510,2.2768,37.81,-122.21,2.964
6.5217,52,6.3994,1.0877,765,2.4838,37.81,-122.22,2.737
3.2632,52,4.7457,1.0109,1129,2.4543,37.8,-122.22,2.277
3.0298,52,5.1837,1.0522,1073,2.4331,37.8,-122.22,1.996
4.5428,52,5.2835,1.0505,1185,2.301,37.8,-122.22,2.398
4.072,52,5.9529,0.9971,756,2.2235,37.81,-122.22,2.701
5.3509,52,5.6507,1.0288,1034,1.9846,37.81,-122.22,3.021
3.1603,52,4.4292,1.0588,787,1.7146,37.8,-122.23,2.695
4.7708,52,6.7277,1.0751,612,2.8732,37.81,-122.23,3.147
8.1564,52,7.7026,1.0579,1021,2.6868,37.81,-122.22,3.901
8.8793,52,8.9729,1.1318,861,3.3372,37.81,-122.23,4.103
6.8591,52,7.5994,0.9572,953,2.9144,37.81,-122.24,3.524
6.0302,52,5.8203,0.9297,634,2.4766,37.81,-122.24,2.873
7.508,52,7.9943,1.0369,878,2.4943,37.81,-122.23,3.487
2.7477,52,4.3333,1.1387,918,1.9006,37.81,-122.24,2.438
2.1944,52,5.0743,0.96,360,2.0571,37.8,-122.24,2.115
3.0149,52,4.2766,1.0451,1197,2.4529,37.8,-122.25,2.184
3.675,52,4.8514,0.9691,1048,2.0232,37.81,-122.24,2.699
3.225,46,4.3266,1.1178,1373,1.838,37.81,-122.25,2.188
2.9345,42,4.0591,1.0493,1715,1.6897,37.8,-122.25,2.25
2.1429,43,3.2742,1.097,1359,1.8823,37.8,-122.25,2.5
1.6121,41,3.5617,1.1356,1062,2.5714,37.8,-122.25,1.714
1.3929,29,3.1928,1.1177,1335,1.727,37.8,-122.25,1.938
2.3173,27,3.8042,1.1469,1171,2.7296,37.79,-122.24,1.25
1.7772,45,3.8826,1.1435,1475,3.2065,37.79,-122.25,0.975
2.6458,50,3.2092,0.9592,742,3.7857,37.79,-122.25,1.25
2.181,52,3.6887,1.0771,1086,2.9917,37.79,-122.25,1.388
2.2303,36,3.0902,1.116,1645,3.0295,37.8,-122.25,1.167
1.6504,43,3.6398,1.0047,1710,2.6553,37.8,-122.25,1.518
2.2697,52,4.3684,1,731,3.2061,37.8,-122.24,1.27
2.1563,52,4.585,1.0749,1118,3.2219,37.8,-122.24,1.286
2.1348,52,4.7343,1.1881,1006,3.003,37.8,-122.24,1.406
2.6292,47,3.6931,1.0614,1213,2.1895,37.8,-122.24,1.827
2.3833,52,4.6381,1.1245,772,3.0039,37.8,-122.23,1.469
2.957,52,4.4963,1.0474,1321,3.2943,37.8,-122.24,1.228
2.5238,49,4.192,1.1064,1487,2.1965,37.8,-122.24,1.693
1.9375,52,4.2097,0.9892,488,2.6237,37.8,-122.23,1.266
1.9028,51,4.0561,1.0561,949,2.4209,37.8,-122.23,1.279
2.25,50,4.2072,1.1566,1149,2.7687,37.8,-122.23,1.235
2.3929,52,4.4714,1.0679,844,3.0143,37.8,-122.23,1.119
2.1917,43,4.844,1.0918,4367,3.5475,37.79,-122.23,1.128
2.9357,52,4.3277,0.9587,1659,4.0267,37.79,-122.23,1.079
1.8854,30,3.7985,1.0038,1011,3.8441,37.79,-122.23,1.375
2.1638,39,3.7763,1.108,1464,3.7635,37.79,-122.24,1.055
2.125,47,4.5281,1.3036,1237,4.0825,37.79,-122.24,0.955
3.375,52,4.0119,1.0714,647,3.8512,37.79,-122.24,1.161
2.2542,43,4.5546,1.0532,1284,3.5966,37.79,-122.24,1.122
2.1,51,3.1818,0.7818,228,4.1455,37.79,-122.25,0.75
1.6,39,3.748,1.0488,381,3.0976,37.79,-122.25,1.125
3.625,52,3.9736,1.0441,846,3.7269,37.79,-122.25,1.25
1.6929,20,3.5104,1.1524,1659,2.4541,37.8,-122.26,1.15
1.6471,52,2.8333,0.9275,520,3.7681,37.77,-122.22,0.95
2.59,52,4.39,1.1622,866,3.3436,37.77,-122.22,0.964
2.57,52,4.2022,1.1257,612,3.3443,37.77,-122.23,0.72
2.6429,52,3.746,1.1587,415,3.2937,37.78,-122.23,0.713
3.0257,52,4.0469,1.0094,994,4.6667,37.78,-122.23,0.808
1.4886,50,4.0252,1.1111,1525,3.1971,37.78,-122.22,1.288
1.9338,43,3.242,1.0776,1506,3.4384,37.78,-122.23,1.125
1.4844,52,3.8667,1.0118,1008,3.9529,37.78,-122.23,1.194
1.6009,44,3.1158,1.0985,2813,3.7457,37.78,-122.23,1.181
2.0375,48,4.9446,1.1545,1481,4.3178,37.79,-122.23,1.225
2.293,49,5.3653,0.9909,859,3.9224,37.79,-122.23,1.063
2.1494,37,4.4799,1.0975,1608,3.0746,37.79,-122.22,1.325
1.6198,30,4.3571,1.0357,425,3.0357,37.79,-122.23,1.227
1.3281,40,5.0543,1.0815,564,3.0652,37.79,-122.23,1.133
3.5156,44,5.4669,1.1544,961,3.5331,37.79,-122.22,1.095
3.9048,52,4.9985,1.0073,2273,3.3182,37.79,-122.22,1.647
3.0893,52,3.9077,0.9744,600,3.0769,37.79,-122.21,1.25
2.6042,46,4.4896,1.0911,1647,3.1252,37.79,-122.22,1.247
2.5,49,4.3066,1.0613,1201,2.8325,37.79,-122.22,1.367
2.7969,38,4.6267,1.0789,2167,3.2883,37.79,-122.22,1.417
2.8321,29,4.8235,1.1059,939,2.7618,37.79,-122.2,1.5
2.9583,47,5.2842,1.0514,859,2.9418,37.79,-122.21,1.388
2.8365,34,4.5814,1.0795,1517,2.9399,37.79,-122.21,1.392
2.875,35,4.5207,1.0596,1143,2.9611,37.79,-122.21,1.438
3.0682,39,4.3168,1.0776,1109,2.3901,37.8,-122.21,1.565
3.0757,39,4.5247,1.0022,1221,2.7377,37.8,-122.21,1.51
4.9559,43,6.6923,1.0967,1115,2.4505,37.8,-122.2,2.73
4.7721,52,5.7724,1.0933,706,2.6343,37.8,-122.2,2.171
3.4861,52,4.9844,1.0071,1883,2.6671,37.8,-122.21,1.871
5.1184,41,6.0882,1.0412,804,2.3647,37.8,-122.2,2.396
4.0977,48,5.2421,1.0437,506,2.0079,37.8,-122.21,2.297
4.744,48,7.1176,1.0882,610,2.563,37.8,-122.19,2.573
4.2727,46,5.8373,1.0271,768,2.3133,37.8,-122.19,2.469
2.9844,50,5.2609,1.0598,462,2.5109,37.79,-122.19,1.799
4.1739,40,4.5106,1.0894,667,2.8383,37.79,-122.2,1.696
3.8487,46,5.1153,1.015,1059,2.6541,37.8,-122.2,2.033
4.0114,52,6.5451,0.9783,637,2.2996,37.8,-122.19,2.634
4.6563,45,5.9868,0.9934,1106,2.4361,37.79,-122.19,2.318
2.9297,28,4.6996,1.1375,1737,2.5964,37.79,-122.19,1.405
2.3036,35,4.6205,1.1769,1009,2.5872,37.79,-122.2,1.26
2.6667,49,4.2,0.9286,737,3.5095,37.79,-122.2,1.22
2.619,44,3.3014,0.9206,1354,2.7576,37.79,-122.2,1.347
2.4167,45,4.462,1.1245,1530,3.2278,37.79,-122.21,1.394
2.7788,45,4.2104,1.1,1410,2.9375,37.79,-122.2,1.154
2.7352,46,3.935,0.8928,1390,2.4429,37.78,-122.21,1.373
1.8472,52,5.4907,1.1152,1065,3.9591,37.78,-122.21,1.37
2.6583,52,4.3102,0.9143,792,3.2327,37.78,-122.21,1.426
3.0536,49,3.6653,0.9959,779,3.1796,37.78,-122.21,1.375
2.3906,44,4.8656,1.1639,2269,3.7197,37.78,-122.22,1.117
1.7188,43,4.1818,1.1302,1227,3.0147,37.78,-122.21,1.268
2.625,47,3.6556,1.029,753,3.1245,37.78,-122.21,1.113
2.8015,40,3.6593,0.8444,547,4.0519,37.77,-122.22,1.148
1.7276,50,4.0364,1.075,1807,4.1068,37.78,-122.22,1.023
2.0801,44,3.3899,1.0384,1700,3.4343,37.78,-122.22,1.319
2.489,51,4.1654,1.1781,1543,3.9262,37.78,-122.22,1.191
1.7546,52,4.7333,1.0467,1085,3.6167,37.76,-122.21,0.806
4.0904,52,4.3139,1.2628,353,2.5766,37.77,-122.21,0.806
2.6765,52,5,1.0268,473,3.1745,37.77,-122.21,0.888
2.4338,49,4.7039,1.0311,1621,3.3561,37.77,-122.2,1.024
2.3309,46,3.4859,1.0593,1183,3.3418,37.77,-122.21,0.987
2.2604,43,3.6715,1.1841,836,3.0181,37.77,-122.21,1
1.8039,42,3.5437,0.9658,900,3.4221,37.77,-122.19,0.923
2.2562,39,5.0074,1.1117,1888,3.5158,37.77,-122.2,0.948
2.0562,41,4.5367,1.217,1024,3.0029,37.77,-122.2,1.02
3.5398,52,5.4374,1.0473,1225,2.896,37.78,-122.2,1.584
3.1167,39,4.6596,1.0612,1071,2.8484,37.78,-122.2,1.216
2.5401,50,4.9392,1.0661,1128,2.9841,37.78,-122.2,1.291
2.898,43,5.0207,1.0372,1537,3.1756,37.77,-122.2,1.214
2.3125,44,4.3995,1.0534,1240,3.1552,37.78,-122.21,1.028
2.875,52,6.1071,1.0714,469,2.7917,37.78,-122.19,1.6
3.3715,52,5.1059,1.0071,1086,2.5553,37.77,-122.19,1.439
3.5114,52,5.5851,1.0671,1144,2.7434,37.77,-122.19,1.512
4.3125,52,6.6453,1.1067,1109,2.9573,37.78,-122.19,1.644
3.22,52,5.9566,1.0759,984,2.6667,37.78,-122.19,1.565
3.875,33,3.0213,0.6596,575,12.234,37.78,-122.18,2.25
5.2328,49,5.6603,0.9809,496,2.3732,37.78,-122.19,1.742
3.7262,52,5.6316,1.0158,555,2.9211,37.78,-122.19,1.669
4.5893,45,5.4006,1.0153,869,2.6575,37.78,-122.2,1.635
5.2578,39,5.8208,0.8962,236,2.2264,37.79,-122.18,2.53
7.0875,41,6.5935,1.0888,626,2.9252,37.79,-122.18,2.407
3.9712,46,6.4103,1.1763,922,2.8024,37.79,-122.18,2.081
2.9514,47,4.8008,0.9492,582,2.2734,37.79,-122.19,1.981
2.6667,50,4.7463,1.0796,546,2.7164,37.79,-122.19,1.728
5.4446,37,6.1767,0.985,620,2.3308,37.81,-122.18,3.367
6.2838,34,6.9487,1,442,2.2667,37.8,-122.18,3.182
6.7527,23,7.064,1.0244,955,2.9116,37.8,-122.18,2.858
7.0712,24,7.5895,0.9784,916,2.8272,37.77,-122.13,2.93
5.9849,22,6.5287,1.0412,4985,2.5343,37.79,-122.16,3.71
3.6875,42,5.7079,0.9738,651,2.4382,37.78,-122.17,1.573
2.875,30,4.7312,1.0612,1704,2.4239,37.77,-122.17,1.353
3.4205,43,4.8771,1.0811,1085,2.6658,37.78,-122.18,1.367
3.2984,50,5.7817,1.1338,713,2.5106,37.78,-122.18,1.607
3.875,49,4.9337,0.9779,468,2.5856,37.78,-122.17,1.406
4.175,52,5.3967,1.0579,296,2.4463,37.78,-122.17,1.44
4.375,47,5.7615,0.9954,570,2.6147,37.77,-122.16,1.619
4.7708,48,5.4278,1.0778,446,2.4778,37.77,-122.16,1.563
3.5739,45,6.0521,1.0339,968,2.5208,37.77,-122.16,1.76
3.0958,39,5.0095,1.1044,857,2.712,37.77,-122.16,1.458
3.3958,39,5.0062,1.0621,912,2.8323,37.77,-122.17,1.419
1.871,31,5.3628,1.1792,1360,3.0088,37.77,-122.17,0.907
1.9356,41,4.4901,1.0338,1074,3.0254,37.76,-122.17,0.906
2.1842,47,5.5445,1.0812,965,2.5262,37.76,-122.17,1.079
2.2917,37,4.9219,1.1188,933,2.9156,37.76,-122.18,1.07
2.4333,38,4.9831,1.1215,987,2.7881,37.76,-122.17,0.982
1.9479,50,4.8252,1.061,907,3.687,37.76,-122.18,0.895
3.9063,52,4.5697,1.0606,447,2.7091,37.76,-122.18,0.938
1.8407,49,5.1175,1.0022,1299,2.8803,37.76,-122.18,0.967
2.0786,27,5.7898,1.5032,396,2.5223,37.77,-122.18,0.975
2.8125,42,4.403,0.959,877,3.2724,37.77,-122.18,0.973
1.8913,43,5.4986,1.1117,1111,3.0272,37.76,-122.18,0.912
1.7056,49,5.0855,1.0483,790,2.9368,37.76,-122.19,0.914
2.2768,52,4.9531,0.9874,1479,2.6697,37.77,-122.18,0.962
3.2552,51,4.8105,1.0753,1173,2.6781,37.77,-122.18,1.201
2.0556,52,4.776,0.9891,1029,2.8115,37.77,-122.18,1
2.4659,52,5.7829,1.1171,1030,2.9429,37.76,-122.19,0.947
1.75,47,4,0.9283,826,2.9606,37.76,-122.2,0.857
2.0469,41,4.4846,1.1233,1412,3.1101,37.77,-122.19,0.893
2.7159,45,5.3066,1.1261,1132,3.2436,37.77,-122.19,1.014
1.2083,41,5.7925,1.3019,522,3.283,37.76,-122.19,0.725
1.925,45,4.1983,1.0042,630,2.6582,37.76,-122.19,0.741
1.5809,36,4.5564,0.9925,531,3.9925,37.75,-122.2,0.7
1.4097,37,4.018,1.1034,1925,2.8861,37.76,-122.2,0.846
0.7683,38,4.2536,1.0541,1144,3.2593,37.76,-122.19,0.818
1.3194,19,4.2442,1.0865,1481,2.8481,37.75,-122.19,0.814
0.8012,28,5.284,1.1667,435,2.6852,37.75,-122.19,0.818
1.9479,26,4.2673,0.9802,984,3.2475,37.76,-122.19,0.858
1.1765,36,5.327,1.3333,567,3.566,37.74,-122.19,0.871
2.3456,42,4.3984,1.252,380,3.0894,37.74,-122.18,0.835
2.1538,44,4.3689,1.0369,825,3.3811,37.73,-122.19,0.797
2.5139,43,4.5613,0.9484,417,2.6903,37.74,-122.19,0.834
1.2625,45,5.324,1.0139,801,2.7909,37.73,-122.19,0.847
2.9063,42,4.5909,1.0859,646,3.2626,37.73,-122.18,0.8
2.5192,43,4.8807,1.0281,855,3,37.73,-122.18,0.764
2.1111,44,4.0294,0.875,435,3.1985,37.73,-122.18,0.797
2.455,42,5.2231,1.1205,2736,3.5077,37.73,-122.18,0.824
2.4028,41,3.8961,1.0749,1481,3.5773,37.74,-122.17,0.977
2.15,47,3.3796,0.9781,327,2.3869,37.74,-122.17,0.972
2.4776,43,4.5698,1.0782,494,2.7598,37.74,-122.17,1.016
2.1587,43,4.3196,1.088,1231,3.61,37.73,-122.17,0.865
1.8438,35,4.6239,1.156,323,2.9633,37.74,-122.18,0.905
3.0298,46,4.56,1.0044,749,3.3289,37.74,-122.17,1.076
2.25,46,4.3202,1.0281,693,3.8933,37.74,-122.17,0.842
2.2467,46,5.9407,1.1045,1339,3.7825,37.74,-122.18,0.889
4.0469,45,4.125,0.95,282,3.525,37.75,-122.18,0.807
1.325,46,4.8256,1.1179,621,3.1846,37.75,-122.18,0.871
1.6196,38,3.8301,1.0772,732,2.8263,37.75,-122.17,0.851
2.1731,45,3.8077,1.0038,901,3.4654,37.75,-122.18,0.82
1.9167,36,7.5067,1.7533,482,3.2133,37.75,-122.19,0.828
2.069,43,4.8638,1.0939,652,3.061,37.75,-122.18,0.846
1.712,36,6.3072,1.2892,651,3.9217,37.75,-122.18,0.821
2.5625,33,4.4755,1.0734,999,3.493,37.76,-122.17,0.893
1.9821,43,5.1863,1.0458,907,2.9641,37.75,-122.17,0.983
2.5043,41,5.4652,1.1783,828,3.6,37.75,-122.17,0.923
2.3281,44,4.7953,0.9764,763,3.0039,37.75,-122.17,0.888
1.4375,48,5.0172,1.1175,935,2.6791,37.75,-122.17,0.9
2.5122,45,4.75,1.062,1437,2.969,37.76,-122.16,0.955
1.5625,38,5.0975,1.2946,1516,3.1452,37.75,-122.16,0.917
3.1587,47,5.3946,1.1405,597,3.227,37.75,-122.17,1.004
1.8426,40,4.9269,1.0029,949,2.7749,37.76,-122.17,0.948
4.6696,46,6.0497,1.0166,881,2.9172,37.76,-122.16,1.643
2.4598,36,5.3584,1.106,1438,2.7707,37.76,-122.16,1.555
6.0749,39,6.7519,1.0593,763,2.8259,37.76,-122.15,1.969
4.8304,27,6.2789,1.0282,1297,3.6535,37.77,-122.14,2.791
5.5701,34,7.1706,1.0948,545,2.5829,37.76,-122.14,2.528
5.37,26,6.1276,0.9212,1222,2.2927,37.76,-122.13,2.754
6.86,33,8.2603,1.1918,808,3.6895,37.75,-122.12,2.5
7.6923,28,7.2844,1.0183,329,3.0183,37.75,-122.12,3.298
4.0313,36,6.3303,0.9633,299,2.7431,37.75,-122.14,1.955
6.8323,33,6.604,0.9901,579,2.8663,37.75,-122.14,2.559
4.975,30,8.28,1.08,137,2.74,37.75,-122.13,3.111
5.3602,36,8.2581,1,229,2.4624,37.75,-122.13,3.3
5,41,6.7901,1.0278,1476,2.2778,37.74,-122.13,2.489
2.925,46,6.1948,1.0455,429,2.7857,37.75,-122.16,1.429
3.8913,40,5.6667,1.0039,849,3.3294,37.75,-122.15,1.263
3.225,44,5.855,1.2054,946,2.858,37.75,-122.15,1.358
3.1458,41,4.4817,0.9319,571,2.9895,37.74,-122.15,1.306
2.537,24,4.6373,1.1762,1137,2.9456,37.75,-122.16,1.079
2.5568,44,4.5704,0.9704,378,2.8,37.75,-122.16,1.111
3.5083,43,5.0846,1.011,853,3.136,37.74,-122.15,1.22
3.3125,49,4.6986,0.9823,764,2.7092,37.74,-122.15,1.18
